source,target,overlap
/home/ubuntu/Masterarbeit/dataset005/robot/k1/0/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.508811
/home/ubuntu/Masterarbeit/dataset005/robot/k1/0/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.50746
/home/ubuntu/Masterarbeit/dataset005/robot/k1/0/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.507453
/home/ubuntu/Masterarbeit/dataset005/robot/k1/30/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.492296
/home/ubuntu/Masterarbeit/dataset005/robot/k1/30/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.490955
/home/ubuntu/Masterarbeit/dataset005/robot/k1/30/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.49062
/home/ubuntu/Masterarbeit/dataset005/robot/k1/60/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.378116
/home/ubuntu/Masterarbeit/dataset005/robot/k1/60/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.380506
/home/ubuntu/Masterarbeit/dataset005/robot/k1/60/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.379699
/home/ubuntu/Masterarbeit/dataset005/robot/k1/330/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.397907
/home/ubuntu/Masterarbeit/dataset005/robot/k1/330/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.399792
/home/ubuntu/Masterarbeit/dataset005/robot/k1/330/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.399347
/home/ubuntu/Masterarbeit/dataset005/robot/k1/300/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.24075
/home/ubuntu/Masterarbeit/dataset005/robot/k1/300/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.239748
/home/ubuntu/Masterarbeit/dataset005/robot/k1/300/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.239396
/home/ubuntu/Masterarbeit/dataset005/robot/k2/0/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.547055
/home/ubuntu/Masterarbeit/dataset005/robot/k2/0/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.548865
/home/ubuntu/Masterarbeit/dataset005/robot/k2/0/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.547436
/home/ubuntu/Masterarbeit/dataset005/robot/k2/30/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.479673
/home/ubuntu/Masterarbeit/dataset005/robot/k2/30/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.482317
