label,mean,median,variance,standardDeviation,minValue,maxValue
0,97.2023,100.715,725.202,26.9296,39.5145,139.022
0,124.079,139.207,1795.55,42.374,34.852,168.525
0,97.2178,115.17,592.678,24.345,49.1084,127.005
0,11.8747,12.7734,18.765,4.33186,1.96109,18.6583
0,11.939,12.4253,17.2984,4.15913,2.66125,17.8958
0,11.0748,11.7049,16.1723,4.02149,2.40694,17.3424
0,14.1355,14.2546,32.4768,5.69885,2.29322,22.845
0,12.2428,13.8261,26.3038,5.12872,2.58757,19.4159
0,12.8345,13.4009,22.6759,4.76193,3.04911,20.2687
0,61.6628,70.0794,478.787,21.8812,17.2732,84.8897
0,57.7129,65.3822,567.069,23.8132,11.9386,92.5424
0,58.8899,66.4021,512.595,22.6406,11.6223,88.6276
0,55.3854,54.7322,495.532,22.2606,8.04694,86.789
0,48.4416,49.3391,504.936,22.4708,7.66488,82.4684
0,58.3926,61.7542,455.709,21.3473,6.2112,85.3999
0,50.8119,54.1313,503.49,22.4386,10.1281,84.2859
0,56.1592,63.6336,517.988,22.7593,4.11263,88.738
0,58.75,65.116,468.918,21.6545,8.09676,85.6764
0,77.5572,92.4869,841.954,29.0165,17.2725,108.049
0,70.0126,73.1829,705.461,26.5605,11.5376,105.714
0,84.6504,90.8442,324.94,18.0261,46.6328,111.814
0,31.9572,34.2813,116.179,10.7786,8.69092,50.1493
0,24.678,23.8258,112.309,10.5976,7.81585,44.1015
0,30.2526,34.1201,194.27,13.9381,4.36965,54.3841
0,29.9249,30.2042,190.136,13.789,5.31298,50.7983
0,20.6583,22.8947,77.955,8.82921,4.59029,34.2256
0,21.5576,22.2666,108.599,10.4211,3.62647,41.4951
0,210.361,216.559,0.669425,0.818184,209.543,211.179
0,173.881,187.653,1.83552,1.35481,172.527,175.236
0,180.173,202.817,64.5076,8.03166,172.141,188.204
0,68.6314,79.4417,121.536,11.0243,57.3309,82.4597
0,65.0054,89.7524,761.669,27.5984,35.5987,106.39
0,68.8,83.5479,333.153,18.2525,39.0939,86.2969
0,83.2764,99.4238,587.691,24.2423,29.6626,110.728
0,78.6616,92.5577,618.606,24.8718,32.6805,111.265
0,93.1361,102.639,915.588,30.2587,27.8925,131.594
0,56.8357,64.6015,515.258,22.6993,10.0523,87.8213
0,53.9245,53.1233,680.963,26.0953,3.9145,92.0418
0,49.937,54.8675,317.75,17.8255,11.4322,73.6763
0,80.5976,87.6592,546.938,23.3867,25.5517,110.722
0,81.7926,85.5947,227.904,15.0965,45.7357,100.17
0,75.7726,82.5711,393.648,19.8406,38.3575,101.723
0,58.5229,59.087,388.734,19.7163,23.4998,84.9053
0,60.1686,63.9685,156.391,12.5056,32.0368,76.6482
0,58.5266,63.304,215.982,14.6963,20.8978,76.712
0,61.1883,64.2079,725.531,26.9357,7.11347,100.748
0,73.015,80.8708,659.273,25.6763,5.80285,106.199
0,64.3613,67.1526,354.737,18.8345,24.1795,90.5139
0,42.19,45.7203,321.032,17.9174,8.90365,66.6742
0,47.1834,47.0819,237.039,15.3961,15.0206,73.8061
0,44.8979,46.7447,573.896,23.9561,12.5473,86.0373
0,35.2453,37.1222,115.539,10.7489,9.81335,53.5281
0,33.3115,34.8418,192.888,13.8884,8.16073,55.4187
0,29.9591,32.6899,130.868,11.4397,7.64995,49.027
0,12.586,13.9468,20.3152,4.50724,2.15579,19.3561
0,12.628,13.223,15.6304,3.95352,2.53333,18.9773
0,12.502,13.6108,34.359,5.86166,1.78545,21.1351
0,11.5671,12.1319,16.8078,4.09973,1.7575,19.125
0,12.3452,13.2013,18.757,4.33094,2.62545,17.9938
0,10.9846,11.8524,11.2745,3.35776,3.78812,15.7184
0,11.5902,12.1696,19.5318,4.41948,1.73235,18.9483
0,12.9683,13.2335,21.2681,4.61174,3.39689,20.5585
0,10.3414,10.3386,16.5698,4.0706,1.04342,16.0809
0,100.624,107.039,556.933,23.5994,35.319,126.531
0,88.4969,95.4928,664.183,25.7717,15.2995,117.157
0,106.131,113.313,633.508,25.1696,37.3158,137.42
0,56.5403,59.5972,630.555,25.1109,1.41405,95.3394
0,61.6212,69.3755,719.378,26.8212,10.2828,98.3281
0,65.6075,72.7042,821.444,28.6608,5.35645,105.608
0,39.5684,42.1422,291.467,17.0724,7.07626,66.3286
0,33.6576,36.8531,184.33,13.5768,9.31125,57.7386
0,41.779,46.6659,296.039,17.2058,5.59024,69.4043
0,53.649,54.0132,275.321,16.5928,23.4618,84.6891
0,52.7562,53.0698,308.037,17.551,8.31874,83.8173
0,52.8731,57.2806,513.797,22.6671,15.2578,88.9983
0,38.8818,42.2929,165.011,12.8457,3.50755,57.6077
0,42.2421,43.1386,265.429,16.292,4.81318,70.3799
0,40.0232,40.9103,124.445,11.1555,11.2547,57.3439
0,16.6894,17.5784,33.2464,5.76597,5.44224,26.0471
0,21.035,21.2051,64.4916,8.03067,5.01682,34.1254
0,18.4013,18.7691,62.8756,7.92941,4.02147,33.1756
0,15.0944,16.4555,36.226,6.0188,3.18088,24.3831
0,21.9541,22.2744,73.3506,8.5645,8.05377,35.7553
0,21.5133,24.8628,74.5797,8.63596,4.87612,33.4495
0,13.8372,15.5868,36.6044,6.05016,2.32298,23.1705
0,14.9119,14.8486,24.4528,4.94498,4.71673,22.3431
0,11.7732,12.4459,17.5155,4.18515,2.78582,19.3732
0,40.13,42.3516,208.245,14.4307,8.44156,62.031
0,52.4355,57.6351,363.85,19.0749,5.13521,78.9564
0,32.3251,33.6499,173.923,13.188,5.97575,51.4694
0,37.6523,37.7677,338.832,18.4074,6.64315,67.1995
0,33.8186,34.3666,175.109,13.2329,8.697,57.331
0,36.9152,36.4781,337.619,18.3744,3.35167,68.1762
0,17.8279,19.1728,46.2544,6.80106,2.22949,27.9464
0,16.5371,17.6111,46.123,6.79139,1.80511,27.2624
0,23.0307,23.176,54.6237,7.39079,6.44346,35.6386
0,16.1128,16.6355,49.5188,7.03696,1.49485,28.2826
0,14.0316,14.5606,20.8832,4.56981,1.27716,21.9996
0,15.4395,16.3838,26.8907,5.18562,4.45956,23.8295
0,45.1637,45.8344,530.262,23.0274,2.25304,87.7586
0,47.8227,49.3508,427.802,20.6834,5.47228,78.729
0,55.328,61.9627,630.609,25.1119,4.70704,91.8156
0,43.2087,48.0595,509.895,22.5808,2.13288,76.8495
0,42.509,45.9991,434.885,20.8539,5.7095,74.3189
0,44.5747,46.7859,287.71,16.962,8.88868,71.7191
0,43.8749,45.9055,412.673,20.3143,7.20724,78.5131
0,23.3386,23.8684,137.085,11.7083,2.62376,42.5975
0,25.6492,25.1096,152.712,12.3577,5.43971,48.581
0,50.5112,55.2283,205.346,14.3299,5.64946,67.0512
0,55.465,61.6138,225.443,15.0148,19.3635,77.682
0,57.4381,61.7649,145.072,12.0446,26.3841,74.6889
0,31.3799,32.331,150.277,12.2587,6.10599,54.8301
0,35.4813,39.6592,355.151,18.8454,5.17892,61.4459
0,39.4676,39.4356,454.21,21.3122,6.89929,71.5539
0,16.0243,17.1072,43.7143,6.61168,1.56732,26.119
0,16.27,17.3229,39.0556,6.24945,3.95077,26.7381
0,14.2863,15.1351,43.9744,6.63132,2.04677,28.3089
0,20.3169,22.9198,88.9521,9.43144,3.70633,39.8743
0,19.8817,22.2189,46.0518,6.78615,4.93841,29.6783
0,14.5735,16.175,43.7459,6.61407,3.5314,24.959
0,14.221,15.5194,20.3343,4.50936,6.15439,23.2951
0,7.65033,8.32502,7.26932,2.69617,0.802506,11.4434
0,11.9638,12.8128,21.0209,4.58486,4.04596,19.6314
0,15.5725,14.9509,38.6229,6.21473,4.61581,27.3523
0,11.2155,12.4033,21.2961,4.61477,1.21192,18.3199
0,13.2238,13.1563,35.3667,5.94699,3.24339,22.5649
1,18.2713,20.0366,54.0197,7.34981,4.0787,30.5645
1,19.9591,22.5347,53.6205,7.3226,1.10563,30.7551
1,20.279,21.6756,66.7979,8.173,1.20416,34.4776
1,23.9014,24.5459,114.426,10.697,2.17432,40.3419
1,28.2211,31.1558,95.7604,9.78572,2.98679,42.7173
1,26.5897,28.4882,138.268,11.7587,2.07406,43.3437
1,47.406,47.364,338.649,18.4024,13.6211,74.9742
1,34.0845,29.9881,247.046,15.7177,9.34365,59.5204
1,46.1389,48.9932,437.982,20.928,9.15627,77.848
1,12.8024,13.4592,18.3198,4.28016,2.42829,18.9222
1,11.1333,11.7895,12.7564,3.57162,2.20003,17.1522
1,11.8737,12.5186,14.845,3.85292,4.07449,17.4979
1,15.9724,18.197,31.5074,5.61314,2.38164,24.2547
1,14.2349,15.8509,35.7052,5.97538,2.23893,22.6777
1,14.6593,14.5733,32.3343,5.68633,3.70341,24.1407
1,25.5118,26.9661,102.851,10.1416,6.78508,40.7401
1,29.4058,28.8748,128.245,11.3245,5.84376,48.0269
1,24.8881,26.9239,89.7268,9.47242,5.13813,38.1157
1,17.2651,19.0177,45.6278,6.75483,2.73763,25.6812
1,15.5064,16.373,38.7895,6.22812,3.10402,25.6105
1,17.448,18.7954,39.032,6.24756,1.8977,26.6531
1,12.0775,13.2205,20.591,4.53773,2.12052,18.9821
1,12.9946,13.7604,18.473,4.29802,1.9128,19.9267
1,14.1127,15.5961,35.8921,5.991,1.00417,23.5885
1,29.1071,31.5635,150.6,12.2719,3.8753,50.2586
1,29.8236,30.4043,114.725,10.711,9.65516,45.1233
1,31.2605,34.903,124.082,11.1392,3.14164,45.3561
1,39.8981,41.4293,277.907,16.6705,7.96418,65.1949
1,44.2865,49.2523,278.778,16.6966,11.4558,71.1639
1,42.2942,45.7184,297.779,17.2563,9.14884,70.1655
1,18.2701,19.8936,49.1159,7.00827,4.4411,28.3027
1,26.26,26.5918,93.1729,9.65261,8.52336,42.1989
1,21.6939,21.4876,52.8774,7.27168,4.62016,33.1919
1,21.4133,24.0339,60.3728,7.76999,5.06246,32.6895
1,19.9473,21.5315,65.7553,8.10896,3.56496,33.1499
1,20.3843,21.3433,67.3482,8.20659,1.67103,34.5888
1,70.4187,79.1808,384.253,19.6024,8.99236,92.961
