label,mean,median,variance,standardDeviation,minValue,maxValue
0,366.776,175.405,241932,491.866,35.8424,3684.54
0,459.347,168.53,532691,729.857,32.9753,4264.52
0,379.234,152.546,312601,559.108,43.0848,3670.63
0,117.126,37.8799,66485.5,257.848,1.09483,2217.7
0,123.071,42.7175,92687.5,304.446,1.72374,3226.67
0,133.33,41.7292,94526.7,307.452,1.76749,3638.08
0,183.143,112.755,72768.9,269.757,0.787412,2419.04
0,196.442,119.074,77481.4,278.355,1.82638,3506.02
0,211.133,119.748,97519.3,312.281,0.735582,3349.63
0,145.278,100.607,42661,206.545,1.71368,2700.65
0,140.219,94.0396,29601.8,172.052,3.04228,1910.67
0,134.52,93.4857,23127,152.076,2.58048,1297.31
0,109.899,58.9972,30164,173.678,1.9158,2686
0,104.359,47.2112,28818.1,169.759,2.28068,2891.43
0,110.44,55.3151,21373.5,146.197,3.04677,2496.84
0,79.8472,28.0371,53889.6,232.141,1.19873,4505.33
0,78.4033,27.1094,36832.7,191.919,1.26937,2862.34
0,76.0219,25.7039,27619.5,166.191,1.93195,2339.3
0,134.807,83.3658,36324.9,190.591,0.802782,2412.26
0,133.573,84.1072,32776.4,181.042,0.906956,4001.4
0,137.025,85.1253,51892,227.798,0.615768,5834.48
0,110.44,61.6401,30321.6,174.131,0.287533,3159.94
0,110.697,62.1203,32015.1,178.928,0.616328,4696.58
0,114.001,58.7365,26412.8,162.52,0.658114,2117.34
0,89.0264,40.4281,17855.6,133.625,0.742154,2642.12
0,93.4667,45.4156,29161.1,170.766,0.560297,4777.99
0,90.6718,41.8392,19217,138.625,0.807299,2601.23
0,91.7099,57.7122,17010.3,130.424,0.373457,1692.01
0,90.8197,58.453,13586.3,116.56,0.482113,1396.49
0,89.3471,58.8235,18351.5,135.468,1.12621,2283.03
0,105.698,56.1555,31548.5,177.619,1.00103,2573.18
0,108.624,53.9319,52842.6,229.875,0.560483,4711.36
0,103.568,56.4533,26610.3,163.126,0.602475,2773.46
0,95.7444,31.6431,41372.6,203.403,0.459616,4685.87
0,109.385,32.0081,74690.7,273.296,0.582111,5672.5
0,99.4849,31.3181,45757.9,213.911,1.20467,3075.38
0,116.765,38.7581,78885.9,280.866,1.06611,9950.7
0,119.659,41.3517,35817.8,189.256,1.09159,1811.35
0,118.156,44.0026,41403,203.477,1.02251,3789.52
0,104.372,29.1498,64427.4,253.825,1.04524,6427.79
0,108.614,28.709,42047.4,205.055,1.20179,3681.86
0,99.4018,29.7123,33630.5,183.386,1.59887,3009.18
0,82.648,24.9904,42943.7,207.229,1.39112,7593.26
0,83.0124,24.3816,31061.5,176.243,0.504287,3928.82
0,84.252,24.7843,31079.8,176.295,1.5979,4034.16
0,175.278,113.674,50912,225.637,3.27832,2416.32
0,167.388,112.043,47779.1,218.584,5.94355,4603.7
0,179.28,115.292,56497.3,237.692,6.48222,3179.23
0,182.077,124.845,51105.8,226.066,1.24959,2663.01
0,188.716,126.946,55991.4,236.625,1.08375,2753.83
0,179.387,119.555,53861.9,232.082,1.3031,2734.58
0,133.956,84.3827,27279.4,165.165,0.491449,1759.15
0,132.58,89.9644,21557.6,146.825,0.957089,1235.66
0,126.374,85.8987,25051.7,158.277,0.310362,1410.27
0,170.073,117.233,45182.9,212.563,1.19409,4478
0,169.489,117.739,41171.8,202.908,0.674305,2820.26
0,165.275,117.48,52532.5,229.2,0.697002,6478.15
0,151.094,104.213,27337.2,165.34,0.899649,1870.3
0,150.764,106.934,24973.3,158.03,1.04565,1802.76
0,151.881,102.256,33924.7,184.187,1.13511,2077.63
0,122.419,81.5492,20910.4,144.604,0.508811,1816.62
0,118.45,77.0724,19592.3,139.972,1.22641,2091.01
0,119.183,76.1284,20642.5,143.675,0.692041,2278.68
0,161.689,85.5448,63668.2,252.326,0.930587,3454.1
0,155.052,85.6533,50129.3,223.896,0.200288,2654.82
0,155.813,81.0914,70472,265.466,0.806691,6084.62
0,135.715,72.1545,50973,225.772,1.18247,3456.94
0,132.258,74.1923,39324.5,198.304,0.585255,4224.26
0,138.241,74.0605,46905.1,216.576,0.659036,2964.12
0,143.015,77.8936,52779.1,229.737,1.03517,3966.12
0,143.192,81.0902,40919.3,202.285,0.662451,2947.8
0,144.111,81.3097,54008.5,232.397,1.10743,6725.8
0,147.792,51.5399,174452,417.674,0.97406,8069.1
0,142.412,53.7229,102214,319.71,2.64111,4861.98
0,111.923,41.7668,41732.7,204.286,2.0988,2487.25
0,112.651,41.5674,58321.3,241.498,1.01951,3561.08
0,104.475,41.4976,49374.7,222.204,1.13457,4393.04
0,106.843,37.4834,58349.9,241.557,1.07734,5899.7
0,133.162,80.5253,43785.1,209.249,0.891047,3992.99
0,128.885,79.7295,44623.2,211.242,1.17332,4746.09
0,123.742,78.3044,29861.8,172.806,0.951195,2370.79
0,126.063,71.0728,29862.3,172.807,1.2826,2106.94
0,128.563,74.4775,27996.6,167.322,0.885889,2041.03
0,129.845,72.939,28487.5,168.783,1.31583,1468.19
0,110.117,59.3554,26194.3,161.846,0.822263,2422.71
0,109.954,57.8839,24773,157.394,0.832939,2382.58
0,107.535,61.6722,28750.6,169.56,0.983271,3597.63
0,115.825,46.673,42275.2,205.609,0.44162,4792.39
0,114.18,52.9257,35778.9,189.153,0.567386,5065.33
0,116.087,49.5363,45482.6,213.266,0.819593,5944.87
0,196.168,120.524,74687.1,273.289,1.74327,2871.83
0,179.866,129.906,48171.7,219.48,1.93906,3885.41
0,179.505,130.337,44120,210.048,1.91568,3334.79
0,138.471,82.5291,43039.1,207.459,2.59127,3306.45
0,128.702,73.5013,30999.2,176.066,2.15281,1768.59
0,128.041,76.2568,31964.4,178.786,1.90309,2533.73
0,109.588,62.271,25949.1,161.087,1.48074,1871.13
0,112.468,57.7616,27120.3,164.682,1.92776,1390.33
0,113.488,60.2179,32717.9,180.881,1.71093,1958.62
0,157.08,87.5677,49934,223.459,2.25308,2430.48
0,153.004,89.8907,59805.1,244.551,1.67871,4918.51
0,152.214,82.7015,66685.3,258.235,2.05047,5199.03
0,101.856,47.4351,25467.6,159.586,0.950172,2318.41
0,106.744,46.739,40017.9,200.045,1.34493,4737.53
0,105.97,44.1035,41682.4,204.163,1.4532,3753.72
0,106.153,39.2013,47069,216.954,0.873024,5198.97
0,102.539,38.446,43974.1,209.7,1.29402,6311.48
0,102.182,40.7059,33695.7,183.564,0.576765,4107.62
0,151.443,78.3902,53809.8,231.969,1.1587,3018
0,152.27,72.609,60762.9,246.501,1.43563,3114.32
0,153.328,74.5508,55574.3,235.742,0.740227,2372.84
0,158.737,79.7764,55609.9,235.817,1.53178,2872.69
0,148.511,81.4073,42647,206.511,0.95766,1920.35
0,154.861,79.5283,60059.9,245.071,1.13026,3471.39
0,135.239,69.9772,63139,251.275,1.42002,7400.5
0,137.011,69.5246,62721.8,250.443,1.35611,6283.63
0,136.147,67.6475,58966.4,242.83,1.88118,5725.78
0,279.73,108.552,272702,522.209,3.93973,6081.92
0,286.697,98.7461,548759,740.782,2.90066,11000.7
0,239.137,115.918,129618,360.025,2.61665,4405.9
0,113.522,46.8335,43995.6,209.751,2.36176,4286.81
0,101.858,46.7787,25462.3,159.569,1.65122,2110.78
0,100.508,45.5492,25130.9,158.527,2.02198,2440.83
0,109.853,38.225,41189.9,202.953,1.54816,3225.95
0,110.035,38.9994,40747.3,201.86,2.28629,3537.48
0,101.957,40.8668,31034.4,176.166,1.99744,3112.46
1,89.4085,26.9257,44721.6,211.475,0.48982,3217.86
1,96.8402,28.8584,63627.1,252.244,0.393344,5060.88
1,91.8112,27.7698,52289.5,228.669,0.348071,4102.86
1,111.195,42.3288,64201.2,253.38,0.565199,6858.64
1,104.932,44.3877,42832.3,206.96,0.413815,3808.56
1,114.899,48.3474,66150.3,257.197,0.402332,6371.78
1,135.369,84.1166,57219.6,239.206,0.428032,3619.14
1,132.518,87.6475,46496.4,215.63,0.544773,3370.73
1,143.349,89.4587,72291.7,268.871,0.555564,4390.23
1,81.3334,28.5072,33268.4,182.396,1.51403,5375.92
1,81.5083,29.0176,21847.4,147.809,2.28915,2001.08
1,82.5019,29.7012,25113.8,158.473,0.835111,2320.14
1,64.8518,24.0278,22800.9,151,0.504717,4596.1
1,64.0204,24.0609,18925.8,137.571,0.514039,2633.21
1,63.5704,24.3491,25005.7,158.132,0.338759,5903.05
1,87.7809,39.3018,22113.2,148.705,0.414651,3090.94
1,87.0286,38.3116,25046,158.259,0.616494,3460.54
1,93.6728,41.8733,32047.7,179.019,0.442038,4016.82
1,100.738,50.7262,25875.9,160.86,0.234746,2044.55
1,95.0705,46.0484,21225.1,145.689,0.534479,2363.84
1,94.2812,51.9091,18957.7,137.687,0.595772,2420.18
